prot_IDs,prot_names,Gene_names,translation_G1_1,translation_G1_2,translation_G2M_1,translation_G2M_2,translation_MG1_1,translation_MG1_2,translation_S_1,translation_S_2
Q9P2K6;F5H523,Kelch domain-containing protein 5,KLHDC5,21.20955,20.34852,,21.11312,,,19.94292,20.07522
Q9NVR0;H0YH46,Kelch-like protein 11,KLHL11,21.02283,21.51677,21.04434,21.31578,21.97109,21.14376,20.27424,20.93323
Q9P2N7-5;Q9P2N7;Q9P2N7-4;Q9P2N7-3;Q9P2N7-2;Q9P2J3;Q7Z350;C9JTS9,Kelch-like protein 13;Kelch-like protein 9,KLHL13;KLHL9;DKFZp686L0695,23.2727,22.90452,24.07961,23.07917,24.41616,23.72682,23.06161,22.22152
Q96M94,Kelch-like protein 15,KLHL15,21.30875,,22.65478,21.5355,21.82699,21.75328,21.0258,21.13402
Q9Y2M5;B4DUR0,Kelch-like protein 20,KLHL20,20.61468,,,20.76418,22.07199,20.34158,21.29995,19.97841
Q9UJP4;Q9UJP4-2,Kelch-like protein 21,KLHL21,22.88664,23.29334,23.96341,22.47167,23.50785,23.24994,22.22741,22.43652
F5H2H4;Q96PQ7-3;Q96PQ7-2;Q96PQ7;G3XA92;F8WAE7;E9PCF4,Kelch-like protein 5,KLHL5,,,,21.03986,,,,
Q8IXQ5;Q8IXQ5-2;G5E9G3;B7Z4N7;F5H7Q0,Kelch-like protein 7,KLHL7,,20.36217,,,,21.64064,,
Q92876;Q92876-2,Kallikrein-6,KLK6,,,,,,,,
P26717;Q07444-2;F5H6K3;Q07444;P26715;F5GYZ0;P26715-2;F5H518;A8MYW4;H0YGY2;H0YGB7,NKG2-C type II integral membrane protein;NKG2-E type II integral membrane protein;NKG2-A/NKG2-B type II integral membrane protein,KLRC2;KLRC3;KLRC1,22.11604,19.90029,23.45501,22.60562,21.45553,20.57542,24.16776,23.26556
P50748;E7ES84;B3KSG2,Kinetochore-associated protein 1,KNTC1,24.79174,24.616,25.45042,24.84719,24.38923,25.135,25.49957,25.53884
P52294;C9JYI4;C9J4U1;F2Z3G4;C9JWD9;C9J352,Importin subunit alpha-1,KPNA1,24.50839,24.05341,23.83268,24.41848,24.44531,24.53594,24.44202,24.16844
P52292;A8MYJ9,Importin subunit alpha-2,KPNA2,28.12129,28.47827,30.68495,30.24909,30.14212,29.87684,28.91099,28.77357
O00505,Importin subunit alpha-3,KPNA3,22.09126,22.06112,22.93959,22.38532,23.76921,24.14188,21.51263,20.06079
O00629;H7C4F6,Importin subunit alpha-4,KPNA4,26.12042,25.90715,26.55224,25.50085,25.78604,25.64116,24.23943,25.57963
O60684;F5GYL8;F5H4G7;O15131;E9PC31;Q5TFJ7,Importin subunit alpha-7;Importin subunit alpha;Importin subunit alpha-6,KPNA6;KPNA5,24.22398,24.62176,24.85743,24.32485,24.74247,24.98689,22.35251,24.27199
Q14974;B7ZAV6;F5H4R7,Importin subunit beta-1,KPNB1,29.62347,29.7292,29.69478,29.02292,29.56438,29.69534,28.80412,29.48631
Q8N9T8;Q8N9T8-2;D3YTE0;F5H196;H0YFD2;H0YH26;H0YG91;F8WFC1;H0YG97,Protein KRI1 homolog,KRI1,24.89638,25.34526,25.50724,25.12175,25.07859,24.70741,24.80931,24.77876
O00522;O00522-3;C9J684;O00522-2;C9JF32;C9JIY2;C9J718,Krev interaction trapped protein 1,KRIT1,20.23596,20.62266,,19.78703,,20.06013,21.02628,20.5708
Q13601;Q13601-2,KRR1 small subunit processome component homolog,KRR1,23.35313,22.53616,23.59286,20.5804,21.9047,23.37398,22.56307,23.54981
P04264,"Keratin, type II cytoskeletal 1",KRT1,30.62688,31.73255,31.91809,33.26905,32.28973,32.6433,31.83992,31.77184
P05783;F8VZY9;CON__H-INV:HIT000015463,"Keratin, type I cytoskeletal 18",KRT18,30.69461,30.78379,30.39816,30.3715,30.58486,30.23512,30.63366,30.53213
P35908;H0YID6;CON__REFSEQ:XP_932229;H0YHD9,"Keratin, type II cytoskeletal 2 epidermal",KRT2,28.12213,28.97823,31.42652,29.08276,29.77079,30.47817,29.77925,29.07362
P04259;F5H6G5,"Keratin, type II cytoskeletal 6B",KRT6B,,,21.03705,25.01495,22.3178,,23.44758,22.6943
Q86UP2;Q86UP2-2;Q86UP2-3;G3V4Y7;B7Z6P3;G3V5P0;G3V5G2;H0YJZ8;H0YJP2;C9JKX0;H0YJV5,Kinectin,KTN1,28.42638,28.69521,28.36256,28.1043,28.12741,27.8925,27.91342,27.94771
Q16719;Q16719-2;B8ZZA3;F8WEP1,Kynureninase,KYNU,26.70794,26.44843,27.05672,26.05654,27.42126,26.8804,26.72858,28.21419
E7EMY4,,L1CAM,20.6281,20.95809,21.39739,20.89453,21.41617,21.48522,20.19713,20.37199
F5H025;P32004;F5H1H0;P32004-2;G3XAF4;H0Y5C3;E7EPI4;E7EVM4;F5H111;E9PHJ4,Neural cell adhesion molecule L1,L1CAM,28.413,28.49324,28.62927,28.16466,28.66936,28.43647,27.68264,27.9026
Q9H9P8;C9JVN9;Q9H9P8-2;G3V272;G3V5S1,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",L2HGDH,20.84606,21.81983,20.68183,21.47328,21.13226,20.51855,20.71858,21.64764
Q969R5;Q969R5-3;Q969R5-2;H0Y5M2,Lethal(3)malignant brain tumor-like protein 2,L3MBTL2,20.90588,20.70852,21.74279,,20.82478,21.16017,19.98482,20.62836
P83111;P83111-2;H0YNN5,"Serine beta-lactamase-like protein LACTB, mitochondrial",LACTB,21.94031,20.24458,23.68635,22.77612,21.96575,21.34711,24.85814,21.67332
Q6GTX8;D3YTC8;Q6GTX8-2;A8MZ84;Q6GTX8-3;Q6GTX8-4;F8WC07,Leukocyte-associated immunoglobulin-like receptor 1,LAIR1,,,,,,,,
P25391,Laminin subunit alpha-1,LAMA1,25.61625,25.77693,26.67115,26.34001,26.60555,26.11273,25.66528,25.79907
Q16787;Q16787-3;F5GWM0;F5H8G3;B0YJ33;Q16787-1,Laminin subunit alpha-3,LAMA3,22.21697,22.13019,21.58298,21.8567,22.2876,22.16674,21.61733,21.40348
O15230;E2QRK0;Q5JTP4,Laminin subunit alpha-5,LAMA5,27.51299,27.3345,27.75366,26.98185,27.82323,27.70991,26.88809,26.87185
G3XAI2;P07942;E7EPA6,Laminin subunit beta-1,LAMB1,25.91614,26.02003,26.21568,25.27941,26.25182,25.99673,25.26155,25.44098
Q13751;Q5THA1,Laminin subunit beta-3,LAMB3,27.58197,27.82323,27.53275,27.66411,27.21188,27.09204,28.4464,28.1033
P11047;Q9Y6N6;E7EWA0,Laminin subunit gamma-1,LAMC1,27.69631,27.78725,27.90529,27.44063,27.54628,27.54797,27.11872,26.91536
P11279;B4DWL3,Lysosome-associated membrane glycoprotein 1,LAMP1,24.69466,24.65676,24.11989,24.49247,25.73619,24.84498,23.99602,23.92352
P13473-3;P13473;P13473-2;B4E2S7;B7Z2R9;H0YCG2,Lysosome-associated membrane glycoprotein 2,LAMP2,23.26614,23.1219,22.56398,22.38139,23.95899,23.55075,22.65106,22.96497
Q6IAA8;F5H3Y3;F5GX19;F5H479;H0YFI1,Ragulator complex protein LAMTOR1,LAMTOR1,20.61018,20.97365,22.05384,20.59878,21.76292,20.59459,21.19802,20.48385
O43813;E9PHS0;F8WDS9,LanC-like protein 1,LANCL1,24.26406,23.74929,24.63915,24.01214,24.6381,24.17326,23.55051,23.7006
P28838;P28838-2;H0Y9Q1;H0Y983,Cytosol aminopeptidase,LAP3,24.61757,24.57421,24.59275,23.97115,24.31914,24.33313,23.57946,24.30647
Q6PKG0;Q6PKG0-3;E5RH50;H0YBW1;H0YC73;H0YC33;H0YAN4;Q659C4;Q659C4-2;Q659C4-5;Q659C4-6;Q659C4-7;Q659C4-9;H0YBM7;E5RHK4;H0YBJ5;H0YAX9;H0YBR8,La-related protein 1,LARP1,27.78238,27.80557,28.29728,27.66384,27.76408,27.19761,27.92099,28.16868
Q71RC2-4;Q71RC2;Q71RC2-3;G5E976;E9PDG5;G3XAA8;Q71RC2-2;Q96J85;Q6P4E2;Q8TBL5;F8VY40;F8W1I4;F8W1Z5,La-related protein 4,LARP4,24.9901,24.76471,25.04043,24.71869,24.8007,24.44398,24.63389,24.8615
Q92615;H0Y4V9;H0Y641;B5MCU2,La-related protein 4B,LARP4B,23.18875,23.1648,24.31251,23.09681,23.43835,22.73564,23.52683,23.76203
Q4G0J3;D6RFF0;H0YA82;Q4G0J3-2;D6R9Z6;D6RAF3;D6RF49;D6RF22,La-related protein 7,LARP7,25.01414,24.81333,24.47079,24.75593,23.70778,24.70282,25.05631,25.36132
Q9P2J5;B4DER1;F5H698;B4DJ10;Q2TU79;F5H2Z9;E7EN15,"Leucine--tRNA ligase, cytoplasmic",LARS,27.1716,27.20144,27.47135,26.92105,26.96851,26.79786,27.36319,27.68559
Q15031;E9PHM2;C9JYR8;C9IZR7,"Probable leucine--tRNA ligase, mitochondrial",LARS2,23.10135,23.74427,22.05917,22.67835,24.14795,23.43097,22.50841,22.48692
Q9Y4W2;Q9Y4W2-2;Q9Y4W2-3;Q9Y4W2-4,Ribosomal biogenesis protein LAS1L,LAS1L,25.99386,26.30918,26.25169,25.57681,26.2658,26.19989,26.09434,26.40563
Q14847-2;Q14847;C9J9W2;B4DGQ0;B4DIC4,LIM and SH3 domain protein 1,LASP1,25.81631,26.1795,26.13079,25.49109,25.7891,25.77432,24.87577,25.30751
Q14739;C9JXK0;C9JES9;H7C108,Lamin-B receptor,LBR,25.54005,25.58537,25.5412,25.22729,25.60724,25.15198,23.85253,24.37557
Q6UWP7;A6H8Z7;Q6UWP7-2;C9K0C3;C9J6F4;C9JXY8;C9JUV9;C9JMW2;C9JA02;C9J5S5,Lysocardiolipin acyltransferase 1,LCLAT1,22.88956,23.43199,23.09611,22.21392,23.72244,23.02163,20.41627,22.20934
O60294;B4DUW3;H3BU01,Leucine carboxyl methyltransferase 2,LCMT2,22.82522,23.48038,23.42547,23.36746,23.98294,23.61594,23.70483,23.62545
H9KV70;P80188;P80188-2,Neutrophil gelatinase-associated lipocalin,LCN2,,,,19.61461,,,,
P00338-3;P00338;E9PH51;F5H308;P00338-4;P00338-2;P00338-5;F5GXY2;F5GYU2;F5GXH2;F5H6W8;F5H5J4;F5GZQ4;F5GWW2;F5GXC7;F5H8H6;F5GXU1,L-lactate dehydrogenase A chain;L-lactate dehydrogenase,LDHA,31.73808,31.23666,31.70029,30.85735,31.24802,31.56074,30.96843,30.9057
P07195;A8MW50;C9J7H8;F5H793;P07864;Q6ZMR3;F5H245;G3XAP5;F5H155;F5H5G7,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,LDHB,29.41185,29.08469,29.06054,28.48777,29.88479,28.8538,29.18811,29.18969
H0YMD1;P01130;H0YLU8;P01130-4;H0YNT7;P01130-3;P01130-2;H0YM92;H0YMQ3;Q14114;Q14114-3;Q14114-4;Q14114-2;E9PP15,Low-density lipoprotein receptor,LDLR,24.72884,24.94789,24.62321,24.48591,25.24129,24.53884,23.73459,24.5521
O95751,Protein LDOC1,LDOC1,,,,,,,,
Q9Y2U8,Inner nuclear membrane protein Man1,LEMD3,22.57801,22.34519,22.78075,21.66891,23.2764,22.33598,22.21996,22.51629
E7EQP8;F8W9Q9;Q96PV6-2;Q96PV6;E7EWC7;B0VJY8;C9JMY0;Q96PV6-3,Leukocyte receptor cluster member 8,LENG8,,,,,20.86801,20.32059,19.78301,19.58837
Q96B70,Leukocyte receptor cluster member 9,LENG9,19.96056,,20.85118,,20.98808,19.91952,,
Q8WVC0;F5GWD7;Q8WVC0-2,RNA polymerase-associated protein LEO1,LEO1,24.69912,24.07349,24.29278,23.93364,24.86235,24.3199,23.48567,23.51809
Q32P28-3;Q32P28;B4DNM8;Q32P28-2;H7C2W6;H7C0D1;E2QRI1,Prolyl 3-hydroxylase 1,LEPRE1,25.11771,25.49198,24.88516,24.28292,25.33473,24.72234,25.38495,24.44714
Q92791;B4DVZ5,Synaptonemal complex protein SC65,LEPREL4,22.78259,23.06171,22.24493,22.0651,22.35178,22.23421,22.4706,22.57113
O95202;F8WBN9;O95202-3;O95202-2,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",LETM1,23.75644,23.9208,23.67799,22.80947,23.88054,23.89013,22.86068,23.2454
B3KXK7;Q6P1Q0;B7Z7E4;F8VVQ3;F8VP71;F8W1Z2;F8W0R0;F8VPY5;Q6P1Q0-3;F8W6J0;F8VTR1;F8WCD9;F8VQE7;F8VXQ4;Q6P1Q0-6;F8W1U1;F8VR35;Q6P1Q0-2;F8VZA2;Q6P1Q0-4,LETM1 domain-containing protein 1,LETMD1,21.89449,,20.29816,20.24133,22.98666,20.31926,19.97463,19.44968
Q8NES3;Q8NES3-3,"Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe",LFNG,20.68106,20.82881,,,21.1801,20.38606,,
P09382,Galectin-1,LGALS1,24.4036,24.93957,24.75807,24.0874,25.09921,25.05602,23.74909,23.65185
P17931;G3V3R6,Galectin-3,LGALS3,25.00376,24.8642,24.64218,24.25904,24.89046,24.85994,24.19069,24.1922
Q08380;B4DVE1;B4DI70,Galectin-3-binding protein,LGALS3BP,28.00598,28.12568,28.18438,27.60633,28.30661,28.16754,27.70596,27.42037
P47929,Galectin-7,LGALS7,,,,26.73389,,,,
Q3ZCW2,Galectin-related protein,LGALSL,,,,19.3936,,,,
Q99538;B7Z4S8;Q86TV3;Q86TV2;F5H2T8;G3V4E4;G3V2T4;H0YJN9,Legumain,LGMN,23.7062,,,,,,,
Q9BXB1;G5E9B3;E9PK51,Leucine-rich repeat-containing G-protein coupled receptor 4,LGR4,25.7748,25.52839,25.18423,23.78057,25.78858,24.76188,24.29151,24.1225
P42702;D6RF33,Leukemia inhibitory factor receptor,LIFR,23.82299,24.23374,24.39931,24.28982,24.03221,24.61807,23.30605,24.93283
P18858;F5GZ28;H0YFI6;B4DTU4;B4E135,DNA ligase 1;DNA ligase,LIG1,23.70609,24.5798,25.10037,24.77535,24.49326,24.15661,25.50045,24.90876
P49916;P49916-2,DNA ligase 3,LIG3,24.64812,24.79243,25.06579,24.55701,24.30473,25.0941,25.54011,25.60122
Q9UHB6;B4DN52;Q9UHB6-2;F8VQE1;Q9UHB6-3;F8VS07;F8VRN8;F8VTU2;F8VVQ7;F8VZI6;Q9BT23,LIM domain and actin-binding protein 1,LIMA1,27.12129,27.37865,27.97263,27.25602,27.62652,27.35026,27.64361,27.58563
Q9UPQ0;Q9UPQ0-4;Q9UPQ0-2;E9PHM7;D6RD46,LIM and calponin homology domains-containing protein 1,LIMCH1,25.13348,24.89032,25.05581,24.08837,25.18582,24.83273,23.72213,24.46936
Q9NUP9;G3V1D4;O14910;H0YIA8;H0YI92;Q9HAP6,Protein lin-7 homolog C;Protein lin-7 homolog A,LIN7C;LIN7A,22.23637,22.37082,23.31202,21.6683,22.36858,22.55347,23.09563,22.8634
E7EUT7;P38571;F8W911;P38571-2,Lipase;Lysosomal acid lipase/cholesteryl ester hydrolase,LIPA,,20.94306,21.18912,20.71364,22.69551,20.71171,20.90455,21.12269
Q15334,Lethal(2) giant larvae protein homolog 1,LLGL1,21.14638,21.72159,22.95456,20.35014,23.36386,21.55154,20.82672,21.55056
Q6P1M3;Q6P1M3-2;G3V1I9;Q6P1M3-3,Lethal(2) giant larvae protein homolog 2,LLGL2,22.35208,22.39713,23.16099,22.26808,21.94332,22.1327,22.58868,22.52514
Q9BRT6,Protein LLP homolog,LLPH,21.1182,21.33353,21.59755,20.63962,23.02974,21.12528,20.25937,22.04293
P49257,Protein ERGIC-53,LMAN1,24.87197,25.2214,24.60541,24.42304,25.42592,24.51635,24.31907,24.97741
Q12907;B4DWN1;D6RBV2;D6RDX1;D6RIU4;D6RBH1,Vesicular integral-membrane protein VIP36,LMAN2,23.82425,24.49302,24.39172,23.82619,24.30027,24.33347,23.77173,23.5412
Q9H0V9-2;Q9H0V9;F5GWW9;F8WB07,VIP36-like protein,LMAN2L,21.37311,,,,22.41681,22.0454,,
H0Y9R0;Q9BU23;Q9BU23-2;Q9BU23-3,Lipase maturation factor 2,LMF2,22.24342,,22.41836,,22.2923,,20.21003,19.45061
P02545;P02545-3;Q6UYC3;P02545-2;Q3BDU5;Q5TCJ4;E7EUI9;D6RAQ3;Q5TCI8;H0YAB0,Prelamin-A/C;Lamin-A/C,LMNA,30.56238,30.82479,30.80008,30.3592,30.7547,30.61491,29.99712,29.93326
P20700;E9PBF6,Lamin-B1,LMNB1,27.35926,27.79631,28.2666,27.56986,28.23745,28.1614,26.61442,26.89342
Q03252,Lamin-B2,LMNB2,25.59668,25.69861,25.93638,25.22722,25.62478,25.22258,24.15143,24.51352
Q8WWI1-3;E9PMS6;Q8WWI1;Q8WWI1-2;F8WD26;Q8WWI1-4;E9PMT2;E9PLH4;E9PMP7;H0Y424;H0YDG6;H0YDQ3;H0YE95;E9PJ10;E9PK58;E9PLU6;E9PRJ0;E9PRE3,LIM domain only protein 7,LMO7,27.00174,27.28189,27.21568,26.78506,27.04614,26.97454,27.1947,27.27258
Q8IWU2,Serine/threonine-protein kinase LMTK2,LMTK2,23.07512,23.52659,23.67066,23.12703,23.05876,22.68003,23.5451,23.66861
Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3,"Leucyl-cystinyl aminopeptidase;Leucyl-cystinyl aminopeptidase, pregnancy serum form",LNPEP,22.23093,22.45066,22.01754,21.58357,22.06046,22.31038,22.11378,21.59605
P36776;B3KXS5;F5GZ27,"Lon protease homolog, mitochondrial;Lon protease homolog",LONP1,25.34059,25.08209,25.52758,24.89472,25.31914,25.29702,25.57173,25.55675
Q86WA8;B7ZKL7;E7EN44;H3BUW8;H3BQ67,"Lon protease homolog 2, peroxisomal;Lon protease homolog",LONP2,25.13977,24.81093,24.84986,24.07366,25.25771,24.78651,24.01112,24.56935
Q496Y0;Q496Y0-2;Q496Y0-3;H0Y7Q8,LON peptidase N-terminal domain and RING finger protein 3,LONRF3,,,21.11794,,,,19.92119,20.26522
P28300;B4DQF8,Protein-lysine 6-oxidase,LOX,20.05603,20.80978,21.70024,20.89674,21.62176,21.34316,19.34377,
Q9Y4K0;H0YAR1;E5RFY0;E5RHH3;E5RJL2;E5RI22,Lysyl oxidase homolog 2,LOXL2,23.38469,23.90995,24.08756,23.24566,23.83519,24.0466,19.99314,22.83465
Q8NF37,Lysophosphatidylcholine acyltransferase 1,LPCAT1,24.09241,24.10965,24.63484,23.77676,24.60099,24.30577,23.67863,23.55836
Q6P1A2;B7Z3N3;F5H0M4;F5GYT3;B7Z3N5;F5H7K7;F5H680,Lysophospholipid acyltransferase 5,LPCAT3,23.60829,23.14471,23.16156,22.69623,23.50749,22.8892,20.90014,22.52741
Q643R3,Lysophospholipid acyltransferase LPCAT4,LPCAT4,22.39608,20.21786,,,,20.76555,,
Q93052;C9JUT4;C9JXK9;C9J4E3;C9J5C8;C9J1K7;C9J3U9;C9JT42;C9JIY7;C9J2R5;C9JE51,Lipoma-preferred partner,LPP,21.62011,22.40315,23.35528,21.47966,22.40091,22.1818,22.19596,21.77636
P50851;F5H1X8;P50851-2;E9PEM5;H0YAC6;H0Y9N9,Lipopolysaccharide-responsive and beige-like anchor protein,LRBA,23.40185,23.26814,23.3577,22.65973,23.5932,23.50337,23.37119,23.26213
Q96II8-2;Q96II8;B4E0T7;Q96II8-3;E9PD99;F8WFB5;F5H3V2;H7C0J8,Leucine-rich repeat and calponin homology domain-containing protein 3,LRCH3,20.89453,22.66299,22.6957,22.3443,22.81174,22.76349,22.23535,23.09891
O75427,Leucine-rich repeat and calponin homology domain-containing protein 4,LRCH4,,20.85331,20.33854,20.93352,20.76887,20.69838,19.8396,20.30184
Q6PJG9;E9PLQ1;E7ENX6;Q9ULH4,Leucine-rich repeat and fibronectin type-III domain-containing protein 4,LRFN4,22.10735,22.87151,22.82545,22.2282,23.05983,21.92093,21.09494,21.05338
Q5T3J3;Q5T3J3-2,Ligand-dependent nuclear receptor-interacting factor 1,LRIF1,23.34462,24.54428,24.00744,23.57427,25.38634,25.31731,24.30278,24.00719
O94898;Q6UXM1;Q6UXM1-2,Leucine-rich repeats and immunoglobulin-like domains protein 2;Leucine-rich repeats and immunoglobulin-like domains protein 3,LRIG2;LRIG3,,20.65185,,19.89272,20.78245,21.9102,,
Q07954;Q6PJ72;H0YJI8,Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain,LRP1,21.52602,21.43319,,22.0417,22.19608,22.03396,20.61621,21.21975
Q7Z4F1;Q7Z4F1-2;H0YHW7,Low-density lipoprotein receptor-related protein 10,LRP10,20.00003,21.19105,22.00113,21.11394,22.29424,21.32295,19.77383,20.92984
Q86VZ4;Q5VYB9;Q86VZ4-2;B4DS68,Low-density lipoprotein receptor-related protein 11,LRP11,22.46201,23.51123,21.23292,21.15561,20.24319,21.88554,23.63212,23.41313
O75197;E9PHY1;F5H0Z3,Low-density lipoprotein receptor-related protein 5,LRP5,24.58251,24.75832,24.95274,24.19708,25.22718,24.5576,23.41841,23.84537
O75581;F5H7J9;H0YGW5,Low-density lipoprotein receptor-related protein 6,LRP6,22.06914,19.68594,21.679,22.40265,,21.48148,,
P30533;D6REW6,Alpha-2-macroglobulin receptor-associated protein,LRPAP1,25.41271,25.71924,25.4169,24.6071,25.17219,25.59167,25.112,25.3281
P42704;F5H4J6;B8ZZ38;C9JCA9;Q9NP80;Q9NP80-2;C9JN30;C9JZI4;Q8NBL3,"Leucine-rich PPR motif-containing protein, mitochondrial",LRPPRC,29.47201,29.73555,29.65407,29.2356,29.69864,29.74983,29.30476,29.15733
A8MSW2;Q96L50;Q96L50-2;G3V5H2;Q6P393,Leucine-rich repeat protein 1,LRR1,20.31318,22.22996,22.05543,21.16048,22.324,22.47949,21.60205,22.92765
Q9BTT6;Q9BTT6-2;Q5T0G3,Leucine-rich repeat-containing protein 1,LRRC1,20.8511,20.67633,21.58252,20.98287,22.17423,20.95091,21.16079,21.58697
Q5VZK9;Q5VZK9-2;Q5VZK9-3;Q5VZK9-4,Leucine-rich repeat-containing protein 16A,LRRC16A,24.21193,23.80243,23.60592,23.80025,23.9188,23.96869,23.19736,23.65622
Q9H9A6,Leucine-rich repeat-containing protein 40,LRRC40,24.5944,24.35084,24.54851,23.4891,24.49723,24.25602,23.48395,23.31493
Q15345;Q15345-3;E9PE58;B5MD92,Leucine-rich repeat-containing protein 41,LRRC41,22.39642,22.08884,21.79693,21.69935,22.28419,20.36453,21.00936,19.40535
Q9Y546;E7EP35;A6NL66,Leucine-rich repeat-containing protein 42,LRRC42,21.01291,22.02259,,20.83569,21.35944,21.36789,,20.90191
Q8N1G4,Leucine-rich repeat-containing protein 47,LRRC47,25.39421,24.95802,25.7191,24.25983,25.66348,25.32954,24.57473,24.48431
Q96CX6,Leucine-rich repeat-containing protein 58,LRRC58,,20.4705,,20.97106,,21.0747,21.81452,20.3953
Q96AG4;I3L223,Leucine-rich repeat-containing protein 59,LRRC59,26.88972,26.70226,27.08689,26.3444,27.08821,26.94458,26.03454,26.29957
Q96NW7;Q96NW7-2;H0Y365,Leucine-rich repeat-containing protein 7,LRRC7,21.21496,,21.49253,,22.3645,20.5603,,22.19129
Q8IWT6;Q8TDW0,Leucine-rich repeat-containing protein 8A,LRRC8A,25.29225,25.31157,25.43393,24.24721,25.21745,24.97294,25.2146,25.21623
Q7L1W4;E9PMF9;E9PL08;E9PJS7;Q5VWA0,Leucine-rich repeat-containing protein 8D,LRRC8D,23.96737,24.48376,24.49881,23.78845,24.38462,24.18238,24.0481,23.92886
Q6NSJ5,Leucine-rich repeat-containing protein 8E,LRRC8E,22.11337,21.3595,23.35003,21.38469,22.63088,22.76638,21.99983,21.82089
Q32MZ4-2;Q32MZ4-3;Q32MZ4;E7EVD7;E9PGZ2;C9JTC6,Leucine-rich repeat flightless-interacting protein 1,LRRFIP1,24.95589,25.11613,25.34109,24.69195,25.12892,25.23564,24.39264,24.5679
Q9Y608;Q9Y608-4;A8MXR0;Q9Y608-2;C9JSU1;H7C3N9;C9J0U5;C9J321;C9JC17;C9JJC9,Leucine-rich repeat flightless-interacting protein 2,LRRFIP2,22.72584,21.82842,23.35998,22.49221,23.17422,23.46501,23.29922,23.06019
Q38SD2;E9PMK9;F8W891;H0YEW1;E9PK39;F5GZB3;Q38SD2-2,Leucine-rich repeat serine/threonine-protein kinase 1,LRRK1,21.23812,21.05285,22.83266,23.488,23.79283,21.85281,23.02251,23.18267
Q6UWE0;Q6UWE0-2,E3 ubiquitin-protein ligase LRSAM1,LRSAM1,21.52573,21.95202,21.85476,21.78417,21.56973,22.82815,20.74246,20.98273
Q9UFC0;H7C5S6,Leucine-rich repeat and WD repeat-containing protein 1,LRWD1,23.05542,22.97698,23.46264,22.73242,23.54557,22.96344,22.81495,22.86024
Q9H089;H7C2X7;F8WFC6,Large subunit GTPase 1 homolog,LSG1,24.96697,25.05022,25.58912,24.57882,25.3455,25.08351,24.75827,24.74083
Q3MHD2-2;Q3MHD2,Protein LSM12 homolog,LSM12,23.12566,22.96136,23.37531,22.85933,23.30772,22.8989,22.62167,22.64696
Q8ND56;Q8ND56-2;B4DTG6;I3L420;I3L4Q1,Protein LSM14 homolog A,LSM14A,23.368,23.24919,24.32978,23.19299,23.99723,24.45337,21.69621,23.97281
Q9BX40;Q9BX40-2;Q5TBQ0;Q5TBP9;Q5TBQ1,Protein LSM14 homolog B,LSM14B,21.66027,22.44874,22.3007,21.60689,22.1317,21.37984,20.95106,21.7233
Q86X29;E9PHD4;A6NDW3;B4DKL4;Q86X29-3;Q86X29-2,Lipolysis-stimulated lipoprotein receptor,LSR,24.789,24.76542,24.59138,24.33838,24.68774,24.68528,24.63423,24.28792
P48449;E9PEI9;G5E9Q9;C9J315,Lanosterol synthase,LSS,23.93715,23.7043,24.75669,23.87127,25.03544,22.72573,23.76598,23.62956
P09960;P09960-2;F8VV40;P09960-3;B4DEH5,Leukotriene A-4 hydrolase,LTA4H,27.40641,27.34206,26.95027,27.1047,27.00913,27.00903,27.16327,26.82226
P36941;F5GXE7;F5H6F8,Tumor necrosis factor receptor superfamily member 3,LTBR,23.00455,22.67853,23.38627,22.61735,23.09518,23.01738,21.17274,
O94822;H7BYG8;O94822-2,E3 ubiquitin-protein ligase listerin,LTN1,22.52416,23.31424,22.25098,21.85266,21.73884,21.18447,23.4008,22.62212
Q96GA3,Protein LTV1 homolog,LTV1,22.76361,23.35084,24.27654,22.55939,23.83364,23.50045,22.33585,22.55068
Q9NQ29;Q9NQ29-2;Q9NQ29-3;A8MYV2;B8ZZ10;B8ZZ09;F2Z322;F8WBC1;B8ZZ12,Putative RNA-binding protein Luc7-like 1,LUC7L,22.40837,22.68889,23.13504,22.42139,23.26742,22.88442,22.41627,22.27165
Q9Y383;B7Z4Q3;Q9Y383-2;B7Z500;C9JWT3;F8WEU3;F8WB41,Putative RNA-binding protein Luc7-like 2,LUC7L2,25.66243,25.97147,26.18982,25.50797,25.91063,25.81284,25.37338,25.38482
O95232;B4DJ96;F5H1W9;D6RDI2;H0YA81;C9JL41;O95232-2;E7EN55;D6RHH0,Luc7-like protein 3,LUC7L3,24.63992,25.8765,26.40168,25.72458,26.3987,26.45779,25.93713,25.57799
Q86V48;Q86V48-3;Q86V48-2;E5RFK8;E5RHU7,Leucine zipper protein 1,LUZP1,23.60048,24.42547,24.04226,23.63312,23.69519,23.21999,24.2018,24.67681
Q9BS40,Latexin,LXN,24.2021,24.0578,24.65392,24.14219,25.00975,24.49198,23.95527,24.34509
Q14210,Lymphocyte antigen 6D,LY6D,,,,,,,,
